id,ability,comment,evol_cost,evol_next,form_cost,form_next,generation,height_m,rate_capture,rate_female,rate_flee,rate_male,rate_spawn,skills,spawn,tier,type1,type2,weight_kg
0185,"['sturdy', 'rock-head', 'rattled']",꼬지모,[],[],[],[],2,1.2,0.25,0.5,0.3,0.5,50,"['move_rock-smash', 'move_strength']",['land'],rare,rock,,38.0
0186,"['water-absorb', 'damp', 'drizzle']",왕구리,[],[],[],[],2,1.1,0.18,0.5,0.3,0.5,50,"['move_surf', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']",['water'],epic,water,,33.9
0187,"['chlorophyll', 'leaf-guard', 'infiltrator']",통통코,['candy_36'],['0188'],[],[],2,0.4,1.0,0.5,0.3,0.5,50,['move_flash'],['land'],common,grass,flying,0.5
0188,"['chlorophyll', 'leaf-guard', 'infiltrator']",두코,['candy_50'],['0189'],[],[],2,0.6,0.47,0.5,0.3,0.5,50,['move_flash'],['land'],rare,grass,flying,1.0
0189,"['chlorophyll', 'leaf-guard', 'infiltrator']",솜솜코,[],[],[],[],2,0.8,0.18,0.5,0.3,0.5,50,['move_flash'],['land'],epic,grass,flying,3.0
0190,"['run-away', 'pickup', 'skill-link']",에이팜,['move_double-hit'],['0424'],[],[],2,0.8,0.18,0.5,0.3,0.5,50,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],common,normal,,11.5
0191,"['chlorophyll', 'solar-power', 'early-bird']",해너츠,['sun-stone'],['0192'],[],[],2,0.3,0.92,0.5,0.3,0.5,50,"['move_flash', 'move_cut']",['land'],common,grass,,1.8
0192,"['chlorophyll', 'solar-power', 'early-bird']",해루미,[],[],[],[],2,0.8,0.47,0.5,0.3,0.5,50,"['move_flash', 'move_cut']",['land'],rare,grass,,8.5
0193,"['speed-boost', 'compound-eyes', 'frisk']",왕자리,['move_ancient-power'],['0469'],[],[],2,1.2,0.29,0.5,0.3,0.5,50,"['move_flash', 'move_defog']",['land'],rare,bug,flying,38.0
0194,"['damp', 'water-absorb', 'unaware']",우파,['candy_50'],['0195'],[],[],2,0.4,1.0,0.5,0.3,0.5,50,"['move_surf', 'move_flash', 'move_rock-smash', 'move_waterfall', 'move_dive']",['water'],common,water,ground,8.5
0194_paldea,"['poison-point', 'water-absorb', 'unaware']",우파,['candy_50'],['0980'],[],[],2,0.4,1.0,0.5,0.3,0.5,50,"['move_surf', 'move_waterfall']",['land'],common,poison,ground,11.0
0195,"['damp', 'water-absorb', 'unaware']",누오,[],[],[],[],2,1.4,0.35,0.5,0.3,0.5,50,"['move_surf', 'move_flash', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']",['water'],rare,water,ground,75.0
0196,"['synchronize', 'magic-bounce']",에브이,[],[],[],[],2,0.9,0.18,0.12,0.3,0.88,50,"['move_flash', 'move_cut']",['land'],epic,psychic,,26.5
0197,"['synchronize', 'inner-focus']",블래키,[],[],[],[],2,1.0,0.18,0.12,0.3,0.88,50,"['move_mean-look', 'move_flash', 'move_cut']",['land'],epic,dark,,27.0
0198,"['insomnia', 'super-luck', 'ptierster']",니로우,['dusk-stone'],['0430'],[],[],2,0.5,0.12,0.5,0.3,0.5,50,"['move_mean-look', 'move_defog', 'move_fly']",['land'],common,dark,flying,2.1
0199,"['oblivious', 'own-tempo', 'regenerator']",야도킹,[],[],[],[],2,2.0,0.27,0.5,0.3,0.5,50,"['move_surf', 'move_flash', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']",['water'],epic,water,psychic,79.5
0199_galar,"['curious_medicine', 'own-tempo', 'regenerator']",야도킹,[],[],[],[],2,1.8,0.27,0.5,0.3,0.5,50,"['move_surf', 'move_waterfall', 'move_dive']",['land'],epic,poison,psychic,79.5
0200,['levitate'],무우마,['dusk-stone'],['0429'],[],[],2,0.7,0.18,0.5,0.3,0.5,50,"['move_mean-look', 'move_flash']",['land'],rare,ghost,,1.0
0201-a,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-b,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-c,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-d,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-e,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-f,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-g,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-h,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-i,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-j,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-k,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-l,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-n,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-m,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-o,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-p,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-q,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-r,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-s,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-t,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-u,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-v,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-w,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-x,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-y,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-z,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-3F,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0201-21,['levitate'],안농,[],[],[],[],2,,0.88,0.0,0.3,0.0,50,[],['land'],rare,psychic,,
0202,"['shadow-tag', 'telepathy']",마자용,[],[],[],[],2,1.3,0.18,0.5,0.3,0.5,50,[],['land'],rare,psychic,,28.5
0203,"['inner-focus', 'early-bird', 'sap-sipper']",키링키,['move_twin-beam'],['0981'],[],[],2,1.5,0.24,0.5,0.3,0.5,50,"['move_mean-look', 'move_flash', 'move_rock-smash', 'move_strength']",['land'],common,normal,psychic,41.5
0204,"['sturdy', 'overcoat']",피콘,['candy_50'],['0205'],[],[],2,0.6,0.75,0.5,0.3,0.5,50,"['move_rock-smash', 'move_strength']",['land'],common,bug,,7.2
0205,"['sturdy', 'overcoat']",쏘콘,[],[],[],[],2,1.2,0.29,0.5,0.3,0.5,50,"['move_rock-smash', 'move_strength']",['land'],rare,bug,steel,125.8
0206,"['serene-grace', 'run-away', 'rattled']",노고치,['move_hyper-drill'],['0982'],[],[],2,1.5,0.75,0.5,0.3,0.5,50,"['move_rock-smash', 'move_strength']",['land'],common,normal,,14.0
0207,"['hyper-cutter', 'sand-veil', 'immunity']",글라이거,['razor-fang+time_night'],['0472'],[],[],2,1.1,0.24,0.5,0.3,0.5,50,"['move_defog', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],common,ground,flying,64.8
0208,"['rock-head', 'sturdy', 'sheer-force']",강철톤,[],[],[],[],2,9.2,0.1,0.5,0.3,0.5,50,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,steel,ground,400.0
0208-mega,['sand-force'],강철톤,[],[],[],[],2,10.5,0.1,0.5,0.3,0.5,50,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,steel,ground,740.0
0209,"['intimidate', 'run-away', 'rattled']",블루,['candy_50'],['0210'],[],[],2,0.6,0.75,0.75,0.3,0.25,50,"['move_rock-smash', 'move_strength']",['land'],rare,fairy,,7.8
0210,"['intimidate', 'quick-feet', 'rattled']",그랑블루,[],[],[],[],2,1.4,0.29,0.75,0.3,0.25,50,"['move_rock-smash', 'move_strength']",['land'],epic,fairy,,48.7
0211,"['poison-point', 'swift-swim', 'intimidate']",침바루,[],,[],[],2,0.5,0.18,0.5,0.3,0.5,50,"['move_surf', 'move_waterfall', 'move_dive']",['water'],common,water,poison,3.9
0211_hisui,"['poison-point', 'swift-swim', 'intimidate']",침바루,['move_barb-barrage'],['0904'],[],[],2,0.5,0.18,0.5,0.3,0.5,50,"['move_surf', 'move_waterfall']",['land'],common,dark,poison,3.9
0212,"['swarm', 'technician', 'light_metal']",핫삼,[],[],[],[],2,1.8,0.1,0.5,0.3,0.5,50,"['move_defog', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,bug,steel,118.0
0212-mega,['technician'],핫삼,[],[],[],[],2,2.0,0.1,0.5,0.3,0.5,50,"['move_defog', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,bug,steel,125.0
0213,"['sturdy', 'gluttony', 'contrary']",단단지,[],[],[],[],2,0.6,0.75,0.5,0.3,0.5,50,"['move_flash', 'move_rock-smash', 'move_strength']",['land'],rare,bug,rock,20.5
0214,"['swarm', 'guts', 'moxie']",헤라크로스,[],[],[],[],2,1.5,0.18,0.5,0.3,0.5,50,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,bug,fighting,54.0
0214-mega,['skill-link'],헤라크로스,[],[],[],[],2,1.7,0.18,0.5,0.3,0.5,50,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,bug,fighting,62.5
0215,"['inner-focus', 'keen-eye', 'pickpocket']",포푸니,['razor-claw+time_night'],"['0461', '0903']",[],[],2,0.9,0.24,0.5,0.3,0.5,50,"['move_surf', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],rare,dark,ice,28.0
0215_hisui,"['inner-focus', 'keen-eye', 'pickpocket']",포푸니,['razor-claw+time_day'],"['0461', '0903']",[],[],2,0.9,0.24,0.5,0.3,0.5,50,['move_rock-smash'],['land'],rare,fighting,poison,27.0
0216,"['pickup', 'quick-feet', 'honey-gather']",깜지곰,['candy_50'],['0217'],[],[],2,0.6,0.47,0.5,0.3,0.5,50,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],common,normal,,8.8
0217,"['guts', 'quick-feet', 'unnerve']",링곰,['peat-block'],['0901'],[],[],2,1.8,0.24,0.5,0.3,0.5,50,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],rare,normal,,125.8
0218,"['magma-armor', 'flame-body', 'weak-armor']",마그마그,['candy_50'],['0219'],[],[],2,0.7,0.75,0.5,0.3,0.5,50,['move_rock-smash'],['land'],common,fire,,35.0
0219,"['magma-armor', 'flame-body', 'weak-armor']",마그카르고,[],[],[],[],2,0.8,0.29,0.5,0.3,0.5,50,"['move_rock-smash', 'move_strength']",['land'],rare,fire,rock,55.0
0220,"['oblivious', 'snow-cloak', 'thick-fat']",꾸꾸리,['candy_50'],['0221'],[],[],2,0.4,0.88,0.5,0.3,0.5,50,"['move_rock-smash', 'move_strength']",['land'],common,ice,ground,6.5
0221,"['oblivious', 'snow-cloak', 'thick-fat']",메꾸리,['move_ancient-power'],['0473'],[],[],2,1.1,0.29,0.5,0.3,0.5,50,"['move_rock-smash', 'move_strength']",['land'],rare,ice,ground,55.8
0222,"['hustle', 'natural-cure', 'regenerator']",코산호,[],[],[],[],2,0.6,0.24,0.75,0.3,0.25,50,"['move_surf', 'move_rock-smash', 'move_strength']",['water'],common,water,rock,5.0
0222_galar,"['weak-armor', 'cursed-body']",코산호,['candy_50'],['0864'],[],[],2,0.6,0.24,0.75,0.3,0.25,50,['move_surf'],['land'],rare,ghost,,0.5
0223,"['hustle', 'sniper', 'moody']",총어,['candy_50'],['0224'],[],[],2,0.6,0.75,0.5,0.3,0.5,50,"['move_surf', 'move_waterfall', 'move_dive']",['water'],common,water,,12.0
0224,"['suction-cups', 'sniper', 'moody']",대포무노,[],[],[],[],2,0.9,0.29,0.5,0.3,0.5,50,"['move_surf', 'move_waterfall', 'move_dive']",['water'],rare,water,,28.5
0225,"['vital-spirit', 'hustle', 'insomnia']",딜리버드,[],[],[],[],2,0.9,0.18,0.5,0.3,0.5,50,"['move_defog', 'move_fly']",['land'],rare,ice,flying,16.0
0226,"['swift-swim', 'water-absorb', 'water-veil']",만타인,[],[],[],[],2,2.1,0.1,0.5,0.3,0.5,50,"['move_surf', 'move_defog', 'move_waterfall', 'move_dive']",['water'],rare,water,flying,220.0
0227,"['keen-eye', 'sturdy', 'weak-armor']",무장조,[],[],[],[],2,1.7,0.1,0.5,0.3,0.5,50,"['move_flash', 'move_defog', 'move_cut', 'move_rock-smash', 'move_fly']",['land'],rare,steel,flying,50.5
0227-mega,[],무장조,[],[],[],[],2,1.7,0.1,0.5,0.3,0.5,50,[],['land'],rare,steel,flying,40.4
0228,"['early-bird', 'flash-fire', 'unnerve']",델빌,['candy_50'],['0229'],[],[],2,0.6,0.47,0.5,0.3,0.5,50,['move_rock-smash'],['land'],common,dark,fire,10.8
0229,"['early-bird', 'flash-fire', 'unnerve']",헬가,[],[],[],[],2,1.4,0.18,0.5,0.3,0.5,50,"['move_rock-smash', 'move_strength']",['land'],rare,dark,fire,35.0
0229-mega,['solar-power'],헬가,[],[],[],[],2,1.9,0.18,0.5,0.3,0.5,50,"['move_rock-smash', 'move_strength']",['land'],rare,dark,fire,49.5
0230,"['swift-swim', 'sniper', 'damp']",킹드라,[],[],[],[],2,1.8,0.18,0.5,0.3,0.5,50,"['move_surf', 'move_waterfall', 'move_dive']",['water'],epic,water,dragon,152.0
0231,"['pickup', 'sand-veil']",코코리,['candy_50'],['0232'],[],[],2,0.5,0.47,0.5,0.3,0.5,50,"['move_rock-smash', 'move_strength']",['land'],common,ground,,33.5
0232,"['sturdy', 'sand-veil']",코리갑,[],[],[],[],2,1.1,0.24,0.5,0.3,0.5,50,"['move_rock-smash', 'move_strength']",['land'],rare,ground,,120.0
0233,"['trace', 'download', 'analytic']",폴리곤2,['dubious-disc'],['0474'],[],[],2,0.6,0.18,0.0,0.3,0.0,50,['move_flash'],['land'],rare,normal,,32.5
0234,"['intimidate', 'frisk', 'sap-sipper']",노라키,['move_psyshield-bash'],['0899'],[],[],2,1.4,0.18,0.5,0.3,0.5,50,['move_flash'],['land'],common,normal,,71.2
0235,"['own-tempo', 'technician', 'moody']",루브도,[],[],[],[],2,1.2,0.18,0.5,0.3,0.5,50,[],['land'],rare,normal,,58.0
0236,"['guts', 'steadfast', 'vital-spirit']",배루키,"['candy_30', 'candy_30', 'candy_30']","['0106', '0107', '0237']",[],[],2,0.7,0.29,0.0,0.3,1.0,50,"['move_rock-smash', 'move_strength']",['land'],common,fighting,,21.0
0237,"['intimidate', 'technician', 'steadfast']",카포에라,[],[],[],[],2,1.4,0.18,0.0,0.3,1.0,50,"['move_rock-smash', 'move_strength']",['land'],rare,fighting,,48.0
0238,"['oblivious', 'forewarn', 'hydration']",뽀뽀라,['candy_50'],['0124'],[],[],2,0.4,0.18,1.0,0.3,0.0,50,"['move_mean-look', 'move_flash']",['land'],common,ice,psychic,6.0
0239,"['static', 'vital-spirit']",에레키드,['candy_50'],['0125'],[],[],2,0.6,0.18,0.25,0.3,0.75,50,"['move_flash', 'move_rock-smash']",['land'],common,electric,,23.5
0240,"['flame-body', 'vital-spirit']",마그비,['candy_50'],['0126'],[],[],2,0.7,0.18,0.25,0.3,0.75,50,['move_rock-smash'],['land'],common,fire,,21.4
0241,"['thick-fat', 'scrappy', 'sap-sipper']",밀탱크,[],[],[],[],2,1.2,0.18,1.0,0.3,0.0,50,"['move_surf', 'move_rock-smash', 'move_strength']",['land'],rare,normal,,75.5
0242,"['natural-cure', 'serene-grace', 'healer']",해피너스,[],[],[],[],2,1.5,0.12,1.0,0.3,0.0,50,"['move_flash', 'move_rock-smash', 'move_strength']",['land'],epic,normal,,46.8
0243,"['pressure', 'inner-focus']",라이코,[],[],[],[],2,1.9,0.01,0.0,0.3,0.0,50,"['move_flash', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],legendary,electric,,178.0
0244,"['pressure', 'inner-focus']",앤테이,[],[],[],[],2,2.1,0.01,0.0,0.3,0.0,50,"['move_flash', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],legendary,fire,,198.0
0245,"['pressure', 'inner-focus']",스이쿤,[],[],[],[],2,2.0,0.01,0.0,0.3,0.0,50,"['move_surf', 'move_cut', 'move_rock-smash', 'move_waterfall', 'move_dive']",['water'],legendary,water,,187.0
0246,"['guts', 'sand-veil']",애버라스,['candy_50'],['0247'],[],[],2,0.6,0.18,0.5,0.3,0.5,50,['move_rock-smash'],['land'],common,rock,ground,72.0
0247,['shed-skin'],데기라스,['candy_100'],['0248'],[],[],2,1.2,0.18,0.5,0.3,0.5,50,['move_rock-smash'],['land'],rare,rock,ground,152.0
0248,"['sand-stream', 'unnerve']",마기라스,[],[],[],[],2,2.0,0.18,0.5,0.3,0.5,50,"['move_surf', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,rock,dark,202.0
0248-mega,['sand-stream'],마기라스,[],[],[],[],2,2.5,0.18,0.5,0.3,0.5,50,"['move_surf', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,rock,dark,255.0
0249,"['pressure', 'multiscale']",루기아,[],[],[],[],2,5.2,0.01,0.0,0.3,0.0,50,"['move_surf', 'move_flash', 'move_defog', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive', 'move_fly']",['land'],legendary,psychic,flying,216.0
0250,"['pressure', 'regenerator']",칠색조,[],[],[],[],2,3.8,0.01,0.0,0.3,0.0,50,"['move_flash', 'move_defog', 'move_rock-smash', 'move_strength', 'move_fly']",['land'],legendary,fire,flying,199.0
0251,['natural-cure'],세레비,[],[],[],[],2,0.6,0.18,0.0,0.3,0.0,50,"['move_flash', 'move_cut']",['land'],legendary,psychic,grass,5.0
0252,"['overgrow', 'unburden']",나무지기,['candy_50'],['0253'],[],[],3,0.5,0.18,0.12,0.3,0.88,50,"['move_flash', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,grass,,5.0
0253,"['overgrow', 'unburden']",나무돌이,['candy_100'],['0254'],[],[],3,0.9,0.18,0.12,0.3,0.88,50,"['move_flash', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,grass,,21.6
0254,"['overgrow', 'unburden']",나무킹,[],[],[],[],3,1.7,0.18,0.12,0.3,0.88,50,"['move_flash', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,grass,,52.2
0254-mega,['lightning-rod'],나무킹,[],[],[],[],3,1.9,0.18,0.12,0.3,0.88,50,"['move_flash', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,grass,dragon,55.2
0255,"['blaze', 'speed-boost']",아차모,['candy_50'],['0256'],[],[],3,0.4,0.18,0.12,0.3,0.88,50,"['move_defog', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,fire,,2.5
0256,"['blaze', 'speed-boost']",영치코,['candy_100'],['0257'],[],[],3,0.9,0.18,0.12,0.3,0.88,50,"['move_defog', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,fire,fighting,19.5
0257,"['blaze', 'speed-boost']",번치코,[],[],[],[],3,1.9,0.18,0.12,0.3,0.88,50,"['move_defog', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,fire,fighting,52.0
0257-mega,['speed-boost'],번치코,[],[],[],[],3,1.9,0.18,0.12,0.3,0.88,50,"['move_defog', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,fire,fighting,52.0
0258,"['torrent', 'damp']",물짱이,['candy_50'],['0259'],[],[],3,0.4,0.18,0.12,0.3,0.88,50,"['move_surf', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']",['water'],epic,water,,7.6
0259,"['torrent', 'damp']",늪짱이,['candy_100'],['0260'],[],[],3,0.7,0.18,0.12,0.3,0.88,50,"['move_surf', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']",['water'],epic,water,ground,28.0
0260,"['torrent', 'damp']",대짱이,[],[],[],[],3,1.5,0.18,0.12,0.3,0.88,50,"['move_surf', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']",['water'],epic,water,ground,81.9
0260-mega,['swift-swim'],대짱이,[],[],[],[],3,1.9,0.18,0.12,0.3,0.88,50,"['move_surf', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']",['water'],epic,water,ground,102.0
0261,"['run-away', 'quick-feet', 'rattled']",포챠나,['candy_50'],['0262'],[],[],3,0.5,1.0,0.5,0.3,0.5,50,['move_rock-smash'],['land'],common,dark,,13.6
0262,"['intimidate', 'quick-feet', 'moxie']",그라에나,[],[],[],[],3,1.0,0.5,0.5,0.3,0.5,50,"['move_rock-smash', 'move_strength']",['land'],rare,dark,,37.0
0263,"['pickup', 'gluttony', 'quick-feet']",지그제구리,['candy_50'],['0264'],[],[],3,0.4,1.0,0.5,0.3,0.5,50,"['move_surf', 'move_cut', 'move_rock-smash']",['land'],common,normal,,17.5
0263_galar,"['pickup', 'gluttony', 'quick-feet']",지그제구리,['candy_50'],['0264_galar'],[],[],3,0.4,1.0,0.5,0.3,0.5,50,['move_surf'],['land'],common,dark,normal,17.5
0264,"['pickup', 'gluttony', 'quick-feet']",직구리,,,[],[],3,0.5,0.35,0.5,0.3,0.5,50,"['move_surf', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],rare,normal,,32.5
0264_galar,"['pickup', 'gluttony', 'quick-feet']",직구리,['candy_75+time_night'],['0862'],[],[],3,0.5,0.35,0.5,0.3,0.5,50,['move_surf'],['land'],rare,dark,normal,32.5
0265,"['shield-dust', 'run-away']",개무소,"['candy_15', 'candy_15']","['0266', '0268']",[],[],3,0.3,1.0,0.5,0.3,0.5,50,[],['land'],common,bug,,3.6
0266,['shed-skin'],실쿤,['candy_30'],['0267'],[],[],3,0.6,0.47,0.5,0.3,0.5,50,[],['land'],rare,bug,,10.0
0267,"['swarm', 'rivalry']",뷰티플라이,[],[],[],[],3,1.0,0.18,0.5,0.3,0.5,50,"['move_flash', 'move_defog']",['land'],rare,bug,flying,28.4
0268,['shed-skin'],카스쿤,['candy_30'],['0269'],[],[],3,0.7,0.47,0.5,0.3,0.5,50,[],['land'],rare,bug,,11.5
0269,"['shield-dust', 'compound-eyes']",독케일,[],[],[],[],3,1.2,0.18,0.5,0.3,0.5,50,"['move_flash', 'move_defog']",['land'],rare,bug,poison,31.6
0270,"['swift-swim', 'rain-dish', 'own-tempo']",연꽃몬,['candy_40'],['0271'],[],[],3,0.5,1.0,0.5,0.3,0.5,50,"['move_surf', 'move_flash']",['water'],common,water,grass,2.6
0271,"['swift-swim', 'rain-dish', 'own-tempo']",로토스,['water-stone'],['0272'],[],[],3,1.2,0.47,0.5,0.3,0.5,50,"['move_surf', 'move_flash', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']",['water'],rare,water,grass,32.5
0272,"['swift-swim', 'rain-dish', 'own-tempo']",로파파,[],[],[],[],3,1.5,0.18,0.5,0.3,0.5,50,"['move_surf', 'move_flash', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']",['water'],epic,water,grass,55.0
0273,"['chlorophyll', 'early-bird', 'pickpocket']",도토링,['candy_40'],['0274'],[],[],3,0.5,1.0,0.5,0.3,0.5,50,"['move_flash', 'move_defog', 'move_rock-smash']",['land'],common,grass,,4.0
0274,"['chlorophyll', 'early-bird', 'pickpocket']",잎새코,['leaf-stone'],['0275'],[],[],3,1.0,0.47,0.5,0.3,0.5,50,"['move_flash', 'move_defog', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],rare,grass,dark,28.0
0275,"['chlorophyll', 'wind-rider', 'pickpocket']",다탱구,[],[],[],[],3,1.3,0.18,0.5,0.3,0.5,50,"['move_flash', 'move_defog', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,grass,dark,59.6
0276,"['guts', 'scrappy']",테일로,['candy_50'],['0277'],[],[],3,0.3,0.78,0.5,0.3,0.5,50,"['move_defog', 'move_fly']",['land'],common,normal,flying,2.3
0277,"['guts', 'scrappy']",스왈로,[],[],[],[],3,0.7,0.18,0.5,0.3,0.5,50,"['move_defog', 'move_fly']",['land'],rare,normal,flying,19.8
0278,"['keen-eye', 'hydration', 'rain-dish']",갈모매,['candy_50'],['0279'],[],[],3,0.6,0.75,0.5,0.3,0.5,50,"['move_surf', 'move_defog', 'move_waterfall', 'move_fly']",['water'],common,water,flying,9.5
0279,"['keen-eye', 'drizzle', 'rain-dish']",패리퍼,[],[],[],[],3,1.2,0.18,0.5,0.3,0.5,50,"['move_surf', 'move_defog', 'move_waterfall', 'move_fly']",['water'],rare,water,flying,28.0
0280,"['synchronize', 'trace', 'telepathy']",랄토스,['candy_50'],['0281'],[],[],3,0.4,0.92,0.5,0.3,0.5,50,"['move_mean-look', 'move_flash']",['land'],common,psychic,fairy,6.6
0281,"['synchronize', 'trace', 'telepathy']",킬리아,"['candy_120', 'dawn-stone+male']","['0282', '0475']",[],[],3,0.8,0.47,0.5,0.3,0.5,50,['move_flash'],['land'],rare,psychic,fairy,20.2
0282,"['synchronize', 'trace', 'telepathy']",가디안,[],[],[],[],3,1.6,0.18,0.5,0.3,0.5,50,['move_flash'],['land'],epic,psychic,fairy,48.4
0282-mega,['pixilate'],가디안,[],[],[],[],3,1.6,0.18,0.5,0.3,0.5,50,['move_flash'],['land'],epic,psychic,fairy,48.4
0283,"['swift-swim', 'rain-dish']",비구술,['candy_35'],['0284'],[],[],3,0.5,0.78,0.5,0.3,0.5,50,"['move_surf', 'move_flash', 'move_waterfall']",['water'],common,bug,water,1.7
0284,"['intimidate', 'unnerve']",비나방,[],[],[],[],3,0.8,0.29,0.5,0.3,0.5,50,"['move_surf', 'move_flash', 'move_defog', 'move_waterfall']",['land'],rare,bug,flying,3.6
0285,"['effect-spore', 'poison-heal', 'quick-feet']",버섯꼬,['candy_50'],['0286'],[],[],3,0.4,1.0,0.5,0.3,0.5,50,['move_flash'],['land'],common,grass,,4.5
0286,"['effect-spore', 'poison-heal', 'technician']",버섯모,[],[],[],[],3,1.2,0.35,0.5,0.3,0.5,50,"['move_flash', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],rare,grass,fighting,39.2
0287,['truant'],게을로,['candy_50'],['0288'],[],[],3,0.8,1.0,0.5,0.3,0.5,50,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],common,normal,,24.0
0288,['vital-spirit'],발바로,['candy_200'],['0289'],[],[],3,1.4,0.47,0.5,0.3,0.5,50,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],rare,normal,,46.5
